id;kode_pwk;nama_provinsi;nama_pemda
479;PW29;Provinsi Bangka Belitung;Kab Bangka Selatan
480;PW29;Provinsi Bangka Belitung;Kab Bangka Tengah
481;PW29;Provinsi Bangka Belitung;Kab Bangka Barat
482;PW29;Provinsi Bangka Belitung;Kab Belitung Timur
483;PW30;Provinsi Banten;Provinsi Banten
484;PW30;Provinsi Banten;Kab Lebak
485;PW30;Provinsi Banten;Kab Pandeglang
486;PW30;Provinsi Banten;Kab Serang
487;PW30;Provinsi Banten;Kab Tangerang
488;PW30;Provinsi Banten;Kota Cilegon
489;PW30;Provinsi Banten;Kota Tangerang
490;PW30;Provinsi Banten;Kota Serang
491;PW30;Provinsi Banten;Kota Tangerang Selatan
492;PW31;Provinsi Gorontalo;Provinsi Gorontalo
493;PW31;Provinsi Gorontalo;Kota Gorontalo
494;PW31;Provinsi Gorontalo;Kab Boalemo
495;PW31;Provinsi Gorontalo;Kab Bone Bolango
496;PW31;Provinsi Gorontalo;Kab Gorontalo
497;PW31;Provinsi Gorontalo;Kab Gorontalo Utara
498;PW31;Provinsi Gorontalo;Kab Pohuwato
499;PW32;Provinsi Sulawesi Barat;Provinsi Sulawesi Barat
500;PW32;Provinsi Sulawesi Barat;Kab Majene
501;PW32;Provinsi Sulawesi Barat;Kab Mamuju
502;PW32;Provinsi Sulawesi Barat;Kab Polewali Mandar
503;PW32;Provinsi Sulawesi Barat;Kab Mamasa
504;PW32;Provinsi Sulawesi Barat;Kab Pasangkayu
505;PW32;Provinsi Sulawesi Barat;Kab Mamuju Tengah
506;PW33;Provinsi Maluku Utara;Provinsi Maluku Utara
507;PW33;Provinsi Maluku Utara;Kota Ternate
508;PW33;Provinsi Maluku Utara;Kota Tidore Kepulauan
509;PW33;Provinsi Maluku Utara;Kab Halmahera Utara
510;PW33;Provinsi Maluku Utara;Kab Halmahera Barat
511;PW33;Provinsi Maluku Utara;Kab Halmahera Timur
512;PW33;Provinsi Maluku Utara;Kab Halmahera Tengah
513;PW33;Provinsi Maluku Utara;Kab Halmahera Selatan
514;PW33;Provinsi Maluku Utara;Kab Kepulauan Sula
515;PW33;Provinsi Maluku Utara;Kab Pulau Taliabu
516;PW33;Provinsi Maluku Utara;Kab Pulau Morotai
517;PW34;Provinsi Kalimantan Utara;Provinsi Kalimantan Utara
518;PW34;Provinsi Kalimantan Utara;Kota Tarakan
519;PW34;Provinsi Kalimantan Utara;Kab Bulungan
520;PW34;Provinsi Kalimantan Utara;Kab Malinau
521;PW34;Provinsi Kalimantan Utara;Kab Nunukan
522;PW34;Provinsi Kalimantan Utara;Kab Tana Tidung
523;PW26;Provinsi Papua;Provinsi Papua Selatan
524;PW26;Provinsi Papua;Kab Merauke
525;PW26;Provinsi Papua;Kab Boven Digoel
526;PW26;Provinsi Papua;Kab Mappi
527;PW26;Provinsi Papua;Kab Asmat
528;PW26;Provinsi Papua;Provinsi Papua Tengah
529;PW26;Provinsi Papua;Kab Mimika
530;PW26;Provinsi Papua;Kab Nabire
531;PW26;Provinsi Papua;Kab Paniai
532;PW26;Provinsi Papua;Kab Puncak Jaya
533;PW26;Provinsi Papua;Kab Dogiyai
534;PW26;Provinsi Papua;Kab Puncak
535;PW26;Provinsi Papua;Kab Intan Jaya
536;PW26;Provinsi Papua;Kab Deiyai
537;PW26;Provinsi Papua;Provinsi Papua Pegunungan
538;PW26;Provinsi Papua;Kab Jayawijaya
539;PW26;Provinsi Papua;Kab Yahukimo
540;PW26;Provinsi Papua;Kab Pegunungan Bintang
541;PW26;Provinsi Papua;Kab Tolikara
542;PW26;Provinsi Papua;Kab Mamberamo Tengah
543;PW26;Provinsi Papua;Kab Yalimo
544;PW26;Provinsi Papua;Kab Lanny Jaya
545;PW26;Provinsi Papua;Kab Nduga
